"covariateId","covariateName","analysisId","conceptId","covariateValue"
4285898210,"condition_era group during day -365 through -1 days relative to index: Polyp of colon",210,4285898,0.521458262567428
30753210,"condition_era group during day -365 through -1 days relative to index: Esophagitis",210,30753,0.327567264545807
6003,"age group:  30 -  34",3,0,-0.0868435894788472
8003,"age group:  40 -  44",3,0,0.0273170728640182
1125315410,"drug_era group during day -365 through -1 days relative to index: Acetaminophen",410,1125315,-0.0235902936434897
4283893210,"condition_era group during day -365 through -1 days relative to index: Sinusitis",210,4283893,0.000126137653547873
372328210,"condition_era group during day -365 through -1 days relative to index: Otitis media",210,372328,0
260139210,"condition_era group during day -365 through -1 days relative to index: Acute bronchitis",210,260139,0
40481087210,"condition_era group during day -365 through -1 days relative to index: Viral sinusitis",210,40481087,0
4218389210,"condition_era group during day -365 through -1 days relative to index: Whiplash injury to neck",210,4218389,0
4156265210,"condition_era group during day -365 through -1 days relative to index: Facial laceration",210,4156265,0
4112343210,"condition_era group during day -365 through -1 days relative to index: Acute viral pharyngitis",210,4112343,0
4116491210,"condition_era group during day -365 through -1 days relative to index: Escherichia coli urinary tract infection",210,4116491,0
28060210,"condition_era group during day -365 through -1 days relative to index: Streptococcal sore throat",210,28060,0
81893210,"condition_era group during day -365 through -1 days relative to index: Ulcerative colitis",210,81893,0
257012210,"condition_era group during day -365 through -1 days relative to index: Chronic sinusitis",210,257012,0
378001210,"condition_era group during day -365 through -1 days relative to index: Concussion with no loss of consciousness",210,378001,0
4001336210,"condition_era group during day -365 through -1 days relative to index: Concussion injury of brain",210,4001336,0
4132546210,"condition_era group during day -365 through -1 days relative to index: Traumatic brain injury",210,4132546,0
4155034210,"condition_era group during day -365 through -1 days relative to index: Laceration of forearm",210,4155034,0
195588210,"condition_era group during day -365 through -1 days relative to index: Cystitis",210,195588,0
4029498210,"condition_era group during day -365 through -1 days relative to index: Seizure disorder",210,4029498,0
4152936210,"condition_era group during day -365 through -1 days relative to index: Laceration of thigh",210,4152936,0
4113008210,"condition_era group during day -365 through -1 days relative to index: Laceration of hand",210,4113008,0
4296204210,"condition_era group during day -365 through -1 days relative to index: First degree burn",210,4296204,0
4310024210,"condition_era group during day -365 through -1 days relative to index: Angiodysplasia of stomach",210,4310024,0
4280726210,"condition_era group during day -365 through -1 days relative to index: Seasonal allergic rhinitis",210,4280726,0
375671210,"condition_era group during day -365 through -1 days relative to index: Concussion with loss of consciousness",210,375671,0
4296205210,"condition_era group during day -365 through -1 days relative to index: Second degree burn",210,4296205,0
4278672210,"condition_era group during day -365 through -1 days relative to index: Fracture of forearm",210,4278672,0
4237458210,"condition_era group during day -365 through -1 days relative to index: Fracture of clavicle",210,4237458,0
